  Lines            Copies        Function name
      8202 (0.0%)      8 (0.0%)  <rustc_infer::infer::nll_relate::TypeGeneralizer<D> as rustc_middle::ty::relate::TypeRelation>::relate_with_variance
      8193 (0.0%)      2 (0.0%)  rustc_mir::interpret::cast::<impl rustc_mir::interpret::eval_context::InterpCx<M>>::cast
      8161 (0.0%)      1 (0.0%)  rustc_expand::expand::MacroExpander::fully_expand_fragment
      8147 (0.0%)      1 (0.0%)  rustc_codegen_ssa::back::link::link_natively
      8140 (0.0%)      4 (0.0%)  rustc_codegen_ssa::back::write::start_executing_work::{{closure}}
      8134 (0.0%)     10 (0.0%)  rustc_middle::query::<impl rustc_query_system::query::config::QueryDescription<rustc_middle::ty::context::TyCtxt> for rustc_middle::ty::query::queries::predicates_of>::try_load_from_disk
      8090 (0.0%)      2 (0.0%)  rustc_target::asm::aarch64::_DERIVE_rustc_serialize_Encodable_E_FOR_AArch64InlineAsmReg::<impl rustc_serialize::serialize::Encodable<__E> for rustc_target::asm::aarch64::AArch64InlineAsmReg>::encode::{{closure}}
      8080 (0.0%)      1 (0.0%)  rustc_resolve::imports::ImportResolver::finalize_import
      8037 (0.0%)      2 (0.0%)  rustc_expand::expand::AstFragment::mut_visit_with
      8018 (0.0%)      1 (0.0%)  rustc_mir::borrow_check::nll::compute_regions
      7908 (0.0%)      6 (0.0%)  rustc_infer::infer::at::At::eq
      7899 (0.0%)     42 (0.1%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::fold::flatten::{{closure}}
      7883 (0.0%)      1 (0.0%)  rustc_middle::ty::context::_DERIVE_rustc_serialize_Encodable_E_FOR_TypeckResults::<impl rustc_serialize::serialize::Encodable<__E> for rustc_middle::ty::context::TypeckResults>::encode::{{closure}}
      7877 (0.0%)     37 (0.1%)  core::slice::sort::break_patterns
      7767 (0.0%)     38 (0.1%)  core::slice::sort::choose_pivot::{{closure}}
      7759 (0.0%)      2 (0.0%)  rustc_mir::interpret::validity::ValidityVisitor<M>::check_safe_pointer
      7750 (0.0%)      1 (0.0%)  rustc_typeck::check::compare_method::compare_impl_method
      7722 (0.0%)      1 (0.0%)  rustc_trait_selection::traits::select::SelectionContext::evaluate_trait_predicate_recursively
